formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H11NO2	[M + H]+	C5H12NO2+		0.500	36.117	36.117	0.000	4	0.906	1.155	1.155	0.296		118.086	56	0.925	857317055190274405	857316065191422675	857316065187228370	846	
1	C5H2Cl3NO2	[M + H]+	C5H3Cl3NO2+		0.252	17.534	17.534	0.000	3	0.254	1.788	1.788	1.459		213.923	56	0.928	857317065701200709	857316065359194843	857316065359194842	776	
1	C8H9NO4S3	[M + Na]+	C8H9NNaO4S3+		0.602	68.962	68.962	0.000	14	0.658	4.860	5.250	-2.985		301.958	56	0.929	857317102552355964	857316065510189795	857316065505995490	802	
1	C3H5N5O	[M + H]+	C3H6N5O+		0.997	47.564	47.564	0.000	6	0.941	1.098	1.098	0.576		128.057	56	0.930	857317065600537406	857316065585687271	857316065585687270	812	
1	C4H5F2NO3S	[M + Na]+	C4H5F2NNaO3S+		0.984	60.610	60.610	0.000	10	0.886	9.400	9.400	1.245		207.985	56	0.932	857317080771335247	857316065669573355	857316065669573354	738	
1	C4H4O8S	[M + Na]+	C4H4NaO8S+		0.290	24.339	24.339	0.000	4	0.296	-0.565	0.948	-0.889		234.952	56	0.937	857317081190765664	857316065766042351	857316065761848046	1006	
1	C2H9BF2N4O2	[M + H]+	C2H10BF2N4O2+		0.539	16.502	16.502	0.000	6	0.170	4.560	4.560	-2.531		170.089	56	0.937	857317071606780987	857316065845734131	857316065841539826	733	
1	C4H4O5S	[M + Na]+	C4H4NaO5S+		0.588	6.140	6.140	0.000	2	0.031	13.012	13.012	-6.338		186.966	56	0.938	857317075301962821	857316065283697367	857316065283697366	727	
1	C7H5Cl3N2O2	[M + H]+	C7H6Cl3N2O2+		0.352	34.489	34.489	0.000	6	0.645	2.378	2.378	1.307		254.949	57	0.944	857317082906236013	857316065917037303	857316065912842998	857	
1	C7H15FN2O	[M + H]+	C7H16FN2O+		1.000	152.275	152.275	0.000	43	0.993	-10.261	10.261	-6.852		163.123	57	0.945	857317119929357477	857316066000923387	857316065996729082	859	
1	C3H8O4S4	[M + H]+	C3H9O4S4+		0.617	29.577	27.236	2.341	8	0.605	-9.284	9.284	3.675		236.939	57	0.953	857317109061915784	857316066084809471	857316066080615166	987	
1	C7O	[M + H]+	C7HO+		0.935	3.500	3.500	0.000	0	0.000			9.989		101.003	57	0.953	857317112065037464	857316066177084163	857316066172889858	683	
1	C6H13NO	[M + H]+	C6H14NO+		0.500	78.606	78.606	0.000	17	0.950	3.488	3.488	0.426		116.107	58	0.960	857317122534020267	857316066286136071	857316066281941766	1001	
1	C9H21NO2	[M - H2O + H]+	C9H20NO+		1.000	94.328	91.171	3.156	26	0.908	1.092	1.092	-113879.473		158.154	58	0.960	857317124178187439	857316066370022155	857316066365827850	1067	
1	C12H23N	[M + H]+	C12H24N+		1.000	46.817	41.226	5.590	5	0.962	0.935	0.935	0.844		182.190	58	0.961	857317144830940342	857316066466491151	857316066466491150	1109	
1	C6H15N	[M + H]+	C6H16N+		1.000	37.204	37.204	0.000	4	0.942	1.155	1.155	0.431		102.128	58	0.961	857317130519975092	857316066554571539	857316066550377234	993	
1	C8H19N	[M + H]+	C8H20N+		1.000	70.761	70.761	0.000	12	0.489	3.912	3.912	0.952		130.159	58	0.961	857317134563284149	857316066638457623	857316066638457622	1145	
